Feature,Gain
circuit_baseline_pace,61694.01171875
round_number,6634.32421875
driver_avg_lap_time,2103.979736328125
fuel_time_effect_v2,1873.0479736328125
stint_number,1846.5980224609375
track_temperature,876.6958618164062
driver_podium_rate,610.6776733398438
lap,574.8318481445312
fuel_load_kg,552.7241821289062
laps_remaining_pct,547.5584716796875
race_year,537.3244018554688
grid_position,321.6649475097656
tire_cold_flag,306.279296875
driver_win_rate,300.28973388671875
stint_length,159.2159423828125
tire_age_laps,106.33821868896484
adjusted_tire_stress,105.15792083740234
stint_progress_pct,67.22264099121094
compound_base_deg_rate,64.82536315917969
position_vs_grid,63.53805923461914
tire_compound,36.893943786621094
team,34.198699951171875
compound_interaction,29.828710556030273
driver_id,24.749189376831055
